imdb_ID,title,year,duration,total_votes,budget,USA_gross_income,worldwide_gross_income,tomatometer_status,audience_rating
tt0382621,Crónicas,2004,108,3279,17000000.0,300322.0,783778.0,Certified-Fresh,77.0
tt0104029,Cronos,1993,94,26368,2000000.0,621392.0,621392.0,Certified-Fresh,69.0
tt1954352,Crooked Arrows,2012,105,1821,13000000.0,1832541.0,1832541.0,Rotten,62.0
tt0109504,Crooklyn,1994,115,9064,14000000.0,13642861.0,13642861.0,Fresh,90.0
tt0112744,The Crossing Guard,1995,111,12549,9000000.0,868979.0,868979.0,Fresh,53.0
tt0924129,Crossing Over,2009,113,22477,19000000.0,455654.0,3676533.0,Rotten,49.0
tt0473024,Crossover,2006,95,8908,5800000.0,7009668.0,7009668.0,Rotten,59.0
tt0109506,The Crow,1994,102,163631,23000000.0,50693129.0,50693129.0,Certified-Fresh,90.0
tt0115986,The Crow: City of Angels,1996,84,18897,13000000.0,17917287.0,17917287.0,Rotten,40.0
tt0139134,Cruel Intentions,1999,97,176314,10500000.0,38773785.0,76347426.0,Rotten,81.0
tt0104036,The Crying Game,1992,112,50217,3173999.9999999995,62548947.0,62548947.0,Certified-Fresh,78.0
tt0478126,Cthulhu,2007,100,1919,750000.0,15213.0,15213.0,Fresh,28.0
tt0123755,Cube,1997,90,207027,288350.0,501818.0,565727.0,Fresh,76.0
tt0115994,Curdled,1996,88,4841,2300000.0,49620.0,49620.0,Rotten,58.0
tt0421715,The Curious Case of Benjamin Button,2008,166,575714,150000000.0,127509326.0,335802786.0,Certified-Fresh,80.0
tt0256524,The Curse of the Jade Scorpion,2001,103,37285,33000000.0,7517191.0,18914307.0,Rotten,53.0
tt0123034,Dead Man's Curve,1998,91,4309,1000000.0,9051951.0,10371451.0,Rotten,53.0
tt0189456,Cut,2000,82,3182,17000000.0,9051951.0,10371451.0,Rotten,25.0
tt0461760,Cut Sleeve Boys,2006,86,441,413999.99999999994,13875.0,13875.0,Rotten,49.0
tt0112760,Cutthroat Island,1995,124,25564,98000000.0,10017322.0,10017322.0,Rotten,40.0
tt0284978,Cypher,2002,95,29815,7500000.0,9051951.0,898365.0,Rotten,65.0
tt1327709,Cyrus,2010,87,974,17000000.0,9051951.0,10371451.0,Certified-Fresh,53.0
tt0109520,D2: The Mighty Ducks,1994,106,35629,17000000.0,45610410.0,45610410.0,Rotten,59.0
tt0116000,D3: The Mighty Ducks,1996,104,24107,17000000.0,22955097.0,22955097.0,Rotten,45.0
tt0382625,The Da Vinci Code,2006,149,392810,125000000.0,217536138.0,760006945.0,Rotten,57.0
tt1620719,Dabangg,2010,126,27218,9370000.0,1288549.0,2942554.0,Fresh,60.0
tt0462244,Daddy Day Camp,2007,89,15427,6000000.0,13235267.0,18197398.0,Rotten,38.0
tt0317303,Daddy Day Care,2003,92,62578,60000000.0,104297061.0,164433867.0,Rotten,48.0
tt1617630,Daddy's Home,2010,90,103,1000000.0,9051951.0,10371451.0,Rotten,49.0
tt0778661,Daddy's Little Girls,2007,100,6917,10000000.0,31366978.0,31609243.0,Rotten,81.0
tt0264508,Dagon,2001,95,16530,4998000.0,9051951.0,145046.0,Fresh,56.0
tt0285728,Dahmer,2002,101,9363,250000.0,144008.0,144008.0,Fresh,40.0
tt0104237,Damage,1992,111,16008,17000000.0,7532911.0,7532911.0,Fresh,73.0
tt1226271,The Damned United,2009,98,40737,10000000.0,449865.0,4091378.0,Certified-Fresh,85.0
tt1667307,Damsels in Distress,2011,99,9092,17000000.0,1008455.0,1314358.0,Certified-Fresh,39.0
tt0480242,Dan in Real Life,2007,98,96790,25000000.0,47642963.0,68474305.0,Fresh,69.0
tt1153706,Dance Flick,2009,83,11607,25000000.0,25662155.0,31439140.0,Rotten,30.0
tt0109529,Dance Me Outside,1994,84,1078,17000000.0,66229.0,66229.0,Fresh,91.0
tt0120576,Dance with Me,1998,126,5757,17000000.0,15923122.0,15923122.0,Rotten,67.0
tt0168629,Dancer in the Dark,2000,140,100095,12800000.0,4184036.0,40031879.0,Fresh,91.0
tt0118925,"Dancer, Texas Pop. 81",1998,97,2302,17000000.0,676631.0,676631.0,Fresh,72.0
tt0118926,The Dancer Upstairs,2002,132,6242,17000000.0,2377348.0,5227348.0,Fresh,76.0
tt0120643,Dancing at Lughnasa,1998,95,3399,17000000.0,2287818.0,2287818.0,Fresh,58.0
tt0217355,Dancing at the Blue Iguana,2000,123,3623,17000000.0,67913.0,122121.0,Rotten,42.0
tt0118892,Dangerous Beauty,1998,111,15766,8000000.0,4553271.0,4553271.0,Fresh,86.0
tt1971365,Dangerous Ishhq,2012,130,814,17000000.0,9051951.0,7298.0,Rotten,31.0
tt0238924,The Dangerous Lives of Altar Boys,2002,104,13031,12000000.0,1815864.0,2036599.0,Certified-Fresh,79.0
tt0112792,Dangerous Minds,1995,99,47606,23000000.0,84919401.0,179519401.0,Rotten,64.0
tt0106661,A Dangerous Woman,1993,102,1591,17000000.0,1497222.0,1497222.0,Rotten,31.0
tt1392888,Daniel & Ana,2009,90,1385,17000000.0,2372.0,2372.0,Rotten,89.0
tt0469062,Danika,2006,80,3423,5000000.0,9051951.0,10371451.0,Rotten,32.0
tt0337960,Danny Deckchair,2003,100,4782,17000000.0,160276.0,805894.0,Rotten,77.0
tt0118928,Dante's Peak,1997,108,79800,116000000.0,67127760.0,178127760.0,Rotten,38.0
tt1241316,Dare,2009,92,4036,17000000.0,18000.0,18000.0,Rotten,34.0
tt0287978,Daredevil,2003,103,204269,78000000.0,102543518.0,179179718.0,Rotten,35.0
tt0838221,The Darjeeling Limited,2007,91,176784,16000000.0,11902715.0,35307949.0,Fresh,78.0
tt1077368,Dark Shadows,2012,113,242866,150000000.0,79727149.0,245527149.0,Rotten,46.0
tt0279331,Dark Blue,2002,118,20232,15000000.0,9250301.0,12150301.0,Rotten,52.0
tt0118929,Dark City,1998,100,185231,27000000.0,14378331.0,27200316.0,Certified-Fresh,85.0
tt0106664,The Dark Half,1993,122,15594,15000000.0,10611160.0,10611160.0,Rotten,37.0
tt0104054,Dark Horse,1992,98,963,17000000.0,9051951.0,10371451.0,Fresh,41.0
tt0416675,Dark Matter,2007,88,3248,17000000.0,30591.0,69379.0,Rotten,40.0
tt0465434,Dark Places,2005,77,187,17000000.0,9051951.0,10371451.0,Rotten,33.0
tt0168631,Dark Summer,2000,90,532,17000000.0,9051951.0,35828.0,Rotten,15.0
tt0106665,Dark Tide,1994,94,333,17000000.0,9051951.0,10371451.0,Rotten,16.0
tt0163596,Dark Water,2001,92,193,17000000.0,9051951.0,10371451.0,Rotten,28.0
tt0273517,Darkness,2002,88,18610,10600000.0,22163442.0,33988736.0,Rotten,30.0
tt0131349,Darkness Falls,1999,90,491,17000000.0,9051951.0,10371451.0,Rotten,34.0
tt0875581,Darling,2007,94,1433,17000000.0,9051951.0,169627.0,Fresh,44.0
tt1730687,Darling Companion,2012,103,3253,17000000.0,793815.0,1157257.0,Rotten,29.0
tt1279935,Date Night,2010,88,150419,55000000.0,98711404.0,152263880.0,Fresh,55.0
tt0106673,Dave,1993,110,48156,28000000.0,63270710.0,63270710.0,Certified-Fresh,72.0
tt0424025,David & Layla,2005,106,843,17000000.0,120750.0,120750.0,Rotten,43.0
tt0363547,Dawn of the Dead,2004,101,230596,26000000.0,59020957.0,102278712.0,Certified-Fresh,77.0
tt0319262,The Day After Tomorrow,2004,124,408418,125000000.0,186740799.0,552639571.0,Rotten,50.0
tt0499455,Day Night Day Night,2006,94,2133,17000000.0,31856.0,40010.0,Fresh,56.0
tt1566503,Day of the Flowers,2012,99,312,17000000.0,9051951.0,220991.0,Rotten,52.0
tt0970416,The Day the Earth Stood Still,2008,104,161595,80000000.0,79366978.0,233093859.0,Rotten,27.0
tt0768183,Day Zero,2007,92,2709,2000000.0,16659.0,16659.0,Rotten,44.0
tt0433362,Daybreakers,2009,98,120928,20000000.0,30101577.0,51417188.0,Fresh,49.0
tt1581835,Daydream Nation,2010,98,12106,17000000.0,9051951.0,10371451.0,Fresh,50.0
tt0116040,Daylight,1996,114,65157,80000000.0,33023469.0,159212469.0,Fresh,63.0
tt0893401,Daylight Robbery,2008,99,1865,17000000.0,9051951.0,2629.0,Rotten,45.0
tt0116041,The Daytrippers,1996,87,4454,17000000.0,2099677.0,2099677.0,Fresh,74.0
tt0106677,Dazed and Confused,1993,102,161506,6900000.0,7993039.0,7993039.0,Certified-Fresh,90.0
tt1311699,Dead Man Running,2009,92,3957,5000000.0,9051951.0,735875.0,Rotten,52.0
tt1013860,Dylan Dog: Dead of Night,2010,108,14499,20000000.0,1186538.0,5782515.0,Rotten,29.0
tt0254252,Dead Awake,2001,100,677,17000000.0,9051951.0,10371451.0,Rotten,17.0
tt0157515,Dead End,1998,93,181,17000000.0,9051951.0,10371451.0,Fresh,76.0
tt1508661,Dead Hooker in a Trunk,2009,92,1153,17000000.0,9051951.0,10371451.0,Fresh,42.0
tt0112817,Dead Man,1995,121,88671,9000000.0,1037847.0,1037847.0,Fresh,88.0
tt0118301,Dead Man on Campus,1998,96,13342,14000000.0,15064946.0,15064946.0,Rotten,55.0
tt2094155,Dead Man's Burden,2012,93,611,17000000.0,29634.0,29634.0,Fresh,49.0
tt0419677,Dead Man's Shoes,2004,90,48541,959642.34,6408.0,203450.0,Rotten,91.0
tt0301167,Dead or Alive: Final,2002,89,2306,17000000.0,2591.0,2591.0,Rotten,40.0
tt0455760,Dead Silence,2007,89,83440,20000000.0,16809076.0,22382047.0,Rotten,51.0
tt0106684,Deadfall,1993,98,2848,10000000.0,18369.0,18369.0,Rotten,37.0
tt1242618,Deadline,2009,85,5067,1800000.0,9051951.0,10371451.0,Rotten,53.0
tt1334526,Deadtime Stories,2009,77,509,17000000.0,9051951.0,10371451.0,Rotten,21.0
tt1242423,Dear Lemon Lima,2009,87,1092,17000000.0,9051951.0,10371451.0,Fresh,64.0
tt0377752,Dear Frankie,2004,105,20826,17000000.0,18025.0,1656829.0,Certified-Fresh,90.0
tt0116059,Dear God,1996,112,3568,22000000.0,7138523.0,7138523.0,Rotten,28.0
tt0989757,Dear John,2010,108,136257,25000000.0,80014842.0,114984666.0,Rotten,55.0
tt0342272,Dear Wendy,2005,105,9770,8000000.0,23106.0,607229.0,Rotten,66.0
tt0109579,Death and the Maiden,1994,103,22077,12000000.0,3103716.0,3103716.0,Certified-Fresh,81.0
tt0795368,Death at a Funeral,2007,90,107959,9000000.0,8580428.0,46789413.0,Rotten,45.0
tt0104070,Death Becomes Her,1992,104,100720,55000000.0,58422650.0,149022650.0,Rotten,61.0
tt0472071,Death Defying Acts,2007,97,9638,20000000.0,5665.0,8396245.0,Rotten,26.0
tt0853096,Death of a President,2006,97,6822,2000000.0,519086.0,869352.0,Rotten,58.0
tt1028528,Death Proof,2007,127,263723,17000000.0,9051951.0,31126421.0,Fresh,72.0
tt0452608,Death Race,2008,105,195474,45000000.0,36316032.0,76014335.0,Rotten,60.0
tt0804461,Death Sentence,2007,105,68198,20000000.0,9534258.0,16974459.0,Rotten,60.0
tt0266452,Death to Smoochy,2002,109,38347,50000000.0,8364691.0,8382938.0,Rotten,66.0
tt0109578,Death Wish V: The Face of Death,1994,95,6847,5000000.0,1702394.0,1702394.0,Rotten,32.0
tt0810823,The Deaths of Ian Stone,2007,87,12517,17000000.0,97182.0,1506562.0,Rotten,34.0
tt0367631,D.E.B.S.,2004,91,14608,3500000.0,97446.0,97446.0,Rotten,55.0
tt0119527,Deceiver,1997,106,5970,17000000.0,572433.0,572433.0,Rotten,58.0
tt0465436,December Boys,2007,105,11564,4000000.0,50715.0,1175579.0,Rotten,52.0
tt0800240,Deception,2008,107,37345,25000000.0,4598506.0,18024545.0,Rotten,31.0
tt0790604,Deck the Halls,2006,93,22017,17000000.0,35093569.0,47232776.0,Rotten,30.0
tt0490579,Dedication,2007,95,6717,17000000.0,92853.0,407511.0,Rotten,64.0
tt0250323,The Deep End,2001,101,10923,3000000.0,8823109.0,10031529.0,Certified-Fresh,59.0
tt0120646,The Deep End of the Ocean,1999,106,12772,38000000.0,13898649.0,28121100.0,Rotten,59.0
tt0120647,Deep Impact,1998,120,160722,75000000.0,140464664.0,349464664.0,Rotten,43.0
tt0118956,Deep Rising,1998,106,32753,45000000.0,11203026.0,11203026.0,Rotten,43.0
tt0218141,Deeply,2000,101,1638,6320000.0,9051951.0,10371451.0,Rotten,59.0
tt1303828,Defendor,2009,101,35247,3500000.0,44462.0,44462.0,Fresh,58.0
tt0337972,Defiance,2002,72,104,17000000.0,9051951.0,10371451.0,Rotten,72.0
tt0119033,Déjà Vu,1997,117,772,17000000.0,1086181.0,1086181.0,Rotten,73.0
tt0361500,Delgo,2008,94,2840,40000000.0,694782.0,694782.0,Rotten,26.0
tt1934231,Delhi Belly,2011,103,26919,17000000.0,1532594.0,16706074.0,Fresh,82.0
tt1172587,Delhi Safari,2012,96,1568,15000000.0,9051951.0,3096376.0,Rotten,35.0
tt0412637,Delirious,2006,107,5893,5000000.0,86460.0,659589.0,Rotten,39.0
tt0352277,De-Lovely,2004,125,10744,15000000.0,13456633.0,18611951.0,Rotten,66.0
tt0800003,Delta Farce,2007,90,10568,17000000.0,8130530.0,8729473.0,Rotten,38.0
tt0109593,Delta of Venus,1995,102,1883,17000000.0,63174.0,63174.0,Rotten,50.0
tt0106697,Demolition Man,1993,115,155477,57000000.0,58055768.0,58055768.0,Fresh,66.0
tt0284034,Demonlover,2002,121,4757,8368080.0,232044.0,462976.0,Rotten,40.0
tt0126861,Denial,1998,93,1010,5000000.0,9051951.0,10371451.0,Certified-Fresh,71.0
tt0106701,Dennis the Menace,1993,94,55381,17000000.0,51270765.0,117270765.0,Rotten,38.0
tt0407887,The Departed,2006,151,1159703,90000000.0,132384315.0,291465034.0,Certified-Fresh,94.0
tt0159404,Depraved,1996,104,179,17000000.0,9051951.0,10371451.0,Certified-Fresh,46.0
tt0398017,Derailed,2005,108,70124,22000000.0,36024076.0,57479076.0,Rotten,58.0
tt0435625,The Descent,2005,99,196964,4830000.0,26024456.0,57130027.0,Certified-Fresh,76.0
tt0126261,Desert Blue,1998,90,2158,2000000.0,100590.0,100590.0,Rotten,47.0
tt0167116,Desert Saints,2002,88,3066,17000000.0,9051951.0,10371451.0,Rotten,54.0
tt0118966,Desperate Measures,1998,100,15645,50000000.0,13806137.0,13806137.0,Rotten,37.0
tt0112854,Destiny Turns on the Radio,1995,102,2241,17000000.0,1176982.0,1176982.0,Rotten,21.0
tt1683526,Detachment,2011,98,74857,17000000.0,72689.0,1688710.0,Rotten,74.0
tt0134613,Detention,1998,86,362,17000000.0,9051951.0,10371451.0,Rotten,46.0
